source,target,weight
Norway,Total,13833014.273170093
Norway,Total oil products,14686524.94015812
Oman,Crude Oil,9982223.655536983
Oman,Fuel Oil,6614020.233077286
Oman,Gas/diesel oil,7569458.88952407
Oman,Kerosenes,8291226.020508973
Oman,Kerosenes of which: kerosene type jet fuel,6232800.0
Oman,Liquefied petroleum gases,11221307.650116831
Oman,Motor and aviation gasoline,8501597.601604046
Oman,NGL,8415850.560064467
Oman,Naphtha,7178591.207195753
Oman,Other,6018735.943305083
Oman,Other oil products,6550208.196682846
Oman,Total,250003.0
Oman,Total oil products,8492965.0
Qatar,Crude Oil,12689781.786502648
Qatar,Fuel Oil,6734816.187148904
Qatar,Gas/diesel oil,8207428.232281874
Qatar,Kerosenes,9003265.990806377
Qatar,Kerosenes of which: kerosene type jet fuel,6262620.0
Qatar,Liquefied petroleum gases,13355325.671671858
Qatar,Motor and aviation gasoline,9037092.328215906
Qatar,NGL,4767200.0
Qatar,Naphtha,7663603.522980251
Qatar,Other,2704.599981259
Qatar,Other oil products,5854024.808313342
Qatar,Total,1958058.4143941689
Qatar,Total oil products,12039024.0
Russia,Crude Oil,49961289.26375494
Russia,Fuel Oil,15125619.59871563
Russia,Gas/diesel oil,17873249.76538764
Russia,Kerosenes,709611.821043846
Russia,Kerosenes of which: kerosene type jet fuel,703215.210978496
Russia,Liquefied petroleum gases,8671556.910038514
Russia,Motor and aviation gasoline,13079726.438198261
Russia,NGL,1577455.72344562
Russia,Naphtha,141722.0
Russia,Other oil products,4021863.7542807
Russia,Total,55713410.37578004
Russia,Total oil products,9252559.418689951
Saudi Arabia,Crude Oil,122039655.92447144
Saudi Arabia,Fuel Oil,13082625.398516526
Saudi Arabia,Gas/diesel oil,19297769.552007854
Saudi Arabia,Kerosenes,11546216.551447948
Saudi Arabia,Kerosenes of which: kerosene type jet fuel,6728820.0
Saudi Arabia,Liquefied petroleum gases,11620781.933894178
Saudi Arabia,Motor and aviation gasoline,17595838.40722711
Saudi Arabia,NGL,9711400.0
Saudi Arabia,Naphtha,8163219.037339435
Saudi Arabia,Other,869472.59406753
Saudi Arabia,Other oil products,12194533.18122245
Saudi Arabia,Total,76875388.839556
Saudi Arabia,Total oil products,44658949.0
Syria,Crude Oil,4337550.0
Syria,Fuel Oil,2197000.0
Syria,Gas/diesel oil,4839600.0
Syria,Kerosenes,5269300.0
Syria,Kerosenes of which: kerosene type jet fuel,1223040.0
Syria,Liquefied petroleum gases,7574800.0
Syria,Motor and aviation gasoline,5618500.0
Syria,NGL,762200.0
Syria,Naphtha,748440.0
Syria,Other oil products,5559620.0
Syria,Total oil products,2599200.0
Tunisia,Crude Oil,3387425.170240836
Tunisia,Fuel Oil,2726873.739304065
Tunisia,Gas/diesel oil,3431745.690683741
Tunisia,Kerosenes,3330056.46630669
